Trial,Mass,Un-Mass,Gravity-Force,Pull-Force,Un-Force,Angle,Un-Angle,TypeofForce,Date
400,10556.4,10,103516.0584,31,2.5,7.86,0.05,C,10/31/24
401,10556.4,10,103516.0584,32,2.5,7.86,0.05,C,10/31/24
402,10556.4,10,103516.0584,33,2.5,7.86,0.05,C,10/31/24
403,10556.4,10,103516.0584,31,2.5,7.86,0.05,C,10/31/24
404,10556.4,10,103516.0584,30,2.5,7.86,0.05,C,10/31/24
405,10556.4,10,103516.0584,33,2.5,7.86,0.05,C,10/31/24
406,10556.4,10,103516.0584,32,2.5,7.86,0.05,C,10/31/24
407,10556.4,10,103516.0584,31,2.5,7.86,0.05,C,10/31/24
408,10556.4,10,103516.0584,31,2.5,7.86,0.05,C,10/31/24
409,10556.4,10,103516.0584,30,2.5,7.86,0.05,C,10/31/24
410,10556.4,10,103516.0584,31,2.5,7.86,0.05,C,10/31/24
411,10556.4,10,103516.0584,32,2.5,7.86,0.05,C,10/31/24
412,10556.4,10,103516.0584,30,2.5,7.86,0.05,C,10/31/24
