Trial,Distance (cm),TapeDist,VelDist,TimeDist,AvgVelTimeDist,Velocity,VelTime,CamTime,Frames,FPS,Angle,Height,Date,Difference,Difference VelDist TapeDist
1,274.9,2.749,2.69522752,2.732659689,2.713943604,5.259006023,0.5917811568,0.60,36,60,30,0.272,11/21/2024,-0.03505639567,-0.0537724803
2,274.1,2.741,2.673745482,2.796800341,2.735272912,5.236973286,0.5895342939,0.62,74,120,30,0.272,11/21/2024,-0.005727088313,-0.06725451763
3,275.8,2.758,2.679091001,2.799732687,2.739411844,5.242464066,0.5900942347,0.62,37,60,30,0.272,11/21/2024,-0.01858815645,-0.07890899941
4,275.7,2.757,2.69657911,2.771342065,2.733960587,5.260389328,0.5919222239,0.61,73,120,30,0.272,11/21/2024,-0.02303941259,-0.06042089022
5,272.2,2.722,2.631567989,2.736079529,2.683823759,5.193456173,0.5850964892,0.61,73,120,30,0.272,11/21/2024,-0.03817624106,-0.09043201114
6,249.9,2.499,2.616751302,2.551244847,2.583998074,5.278437614,0.9914870623,0.97,58,60,60,0.29,11/21/2024,0.08499807444,0.1177513019
7,254.1,2.541,2.675358575,2.625022276,2.650190426,5.339028358,1.002189311,0.98,59,60,60,0.29,11/21/2024,0.1091904256,0.134358575
8,260.5,2.605,2.636970542,2.605546701,2.621258621,5.299417019,0.9951926909,0.98,59,60,60,0.29,11/21/2024,0.01625862132,0.03197054168
9,253,2.53,2.654688093,2.570238447,2.61246327,5.317734718,0.998428178,0.97,58,60,60,0.29,11/21/2024,0.08246327005,0.1246880929
10,247.8,2.478,2.548463728,2.516705728,2.532584728,5.206977367,0.9788649148,0.97,58,60,60,0.29,11/21/2024,0.05458472802,0.07046372847
11,323.1,3.031,3.091236685,3.096407071,3.093821878,5.307855606,0.8236224133,0.83,99,120,45,0.285,11/14/2024,0.06282187803,0.06023668466
12,322.1,3.021,3.089654104,3.126853899,3.108254001,5.306447029,0.8234192695,0.83,100,120,45,0.285,11/14/2024,0.08725400106,0.06865410355
13,325.2,3.052,3.129587483,3.116255835,3.122921659,5.341880322,0.8285294309,0.83,99,120,45,0.285,11/14/2024,0.07092165868,0.07758748267
14,324.9,3.049,3.107128264,3.136006789,3.121567527,5.32198,0.8256594222,0.83,100,120,45,0.285,11/14/2024,0.07256752672,0.05812826426
15,325.6,3.056,3.105533033,3.135172282,3.120352657,5.320563793,0.825455178,0.83,100,120,45,0.285,11/14/2024,0.0643526571,0.04953303263
